match_id,tournament_year,game_type,stage_raw,stage,is_knockout,match_date,country_a,country_b,country_a_code,country_b_code,goals_a_90,goals_b_90,outcome_90,goals_a_after_extra_time,goals_b_after_extra_time,penalties_a,penalties_b,extra_time,score_details,venue,rank_a,rank_b,ranking_points_a,ranking_points_b,rank_diff,ranking_points_diff,confederation_a,confederation_b,same_confederation
1,1930,championship,Group 1,group,false,1930-07-13,France,Mexico,,,4,1,A_WIN,,,,,false,(3-0),"Estadio Pocitos, Montevideo",,,,,,,,,
2,1930,championship,Group 1,group,false,1930-07-15,Argentina,France,,,1,0,A_WIN,,,,,false,(0-0),"Estadio Parque Central, Montevideo",,,,,,,,,
3,1930,championship,Group 1,group,false,1930-07-16,Chile,Mexico,,,3,0,A_WIN,,,,,false,(1-0),"Estadio Parque Central, Montevideo",,,,,,,,,
4,1930,championship,Group 1,group,false,1930-07-19,Chile,France,,,1,0,A_WIN,,,,,false,(0-0),"Estadio Centenario, Montevideo",,,,,,,,,
5,1930,championship,Group 1,group,false,1930-07-19,Argentina,Mexico,,,6,3,A_WIN,,,,,false,(3-1),"Estadio Centenario, Montevideo",,,,,,,,,
6,1930,championship,Group 1,group,false,1930-07-22,Argentina,Chile,,,3,1,A_WIN,,,,,false,(2-1),"Estadio Centenario, Montevideo",,,,,,,,,
7,1930,championship,Group 2,group,false,1930-07-14,Yugoslavia,Brazil,,,2,1,A_WIN,,,,,false,(2-0),"Estadio Parque Central, Montevideo",,,,,,,,,
8,1930,championship,Group 2,group,false,1930-07-17,Yugoslavia,Bolivia,,,4,0,A_WIN,,,,,false,(0-0),"Estadio Parque Central, Montevideo",,,,,,,,,
9,1930,championship,Group 2,group,false,1930-07-20,Brazil,Bolivia,,,4,0,A_WIN,,,,,false,(1-0),"Estadio Centenario, Montevideo",,,,,,,,,
10,1930,championship,Group 3,group,false,1930-07-14,Romania,Peru,,,3,1,A_WIN,,,,,false,(1-0),"Estadio Pocitos, Montevideo",,,,,,,,,
11,1930,championship,Group 3,group,false,1930-07-18,Uruguay,Peru,,,1,0,A_WIN,,,,,false,(0-0),"Estadio Centenario, Montevideo",,,,,,,,,
12,1930,championship,Group 3,group,false,1930-07-21,Uruguay,Romania,,,4,0,A_WIN,,,,,false,(4-0),"Estadio Centenario, Montevideo",,,,,,,,,
13,1930,championship,Group 4,group,false,1930-07-13,USA,Belgium,,,3,0,A_WIN,,,,,false,(2-0),"Estadio Parque Central, Montevideo",,,,,,,,,
14,1930,championship,Group 4,group,false,1930-07-17,USA,Paraguay,,,3,0,A_WIN,,,,,false,(2-0),"Estadio Parque Central, Montevideo",,,,,,,,,
15,1930,championship,Group 4,group,false,1930-07-20,Paraguay,Belgium,,,1,0,A_WIN,,,,,false,(1-0),"Estadio Centenario, Montevideo",,,,,,,,,
16,1930,championship,Semi-finals,semi_final,true,1930-07-26,Argentina,USA,,,6,1,A_WIN,,,,,false,(1-0),"Estadio Centenario, Montevideo",,,,,,,,,
17,1930,championship,Semi-finals,semi_final,true,1930-07-27,Uruguay,Yugoslavia,,,6,1,A_WIN,,,,,false,(3-1),"Estadio Centenario, Montevideo",,,,,,,,,
18,1930,championship,Final,final,true,1930-07-30,Uruguay,Argentina,,,4,2,A_WIN,,,,,false,(1-2),"Estadio Centenario, Montevideo",,,,,,,,,
19,1934,championship,Preliminary round,preliminary_round,true,1934-05-27,Sweden,Argentina,,,3,2,A_WIN,,,,,false,(1-1),"Stadio Littoriale, Bologna",,,,,,,,,
20,1934,championship,Preliminary round,preliminary_round,true,1934-05-27,Austria,France,,,1,1,DRAW,3,2,,,true,"a.e.t. (1-1, 1-1)","Stadio Benito Mussolini, Turin",,,,,,,,,
21,1934,championship,Preliminary round,preliminary_round,true,1934-05-27,Germany,Belgium,,,5,2,A_WIN,,,,,false,(1-2),"Stadio Giovanni Berta, Florence",,,,,,,,,
22,1934,championship,Preliminary round,preliminary_round,true,1934-05-27,Spain,Brazil,,,3,1,A_WIN,,,,,false,(3-0),"Stadio Luigi Ferraris, Genoa",,,,,,,,,
23,1934,championship,Preliminary round,preliminary_round,true,1934-05-27,Hungary,Egypt,,,4,2,A_WIN,,,,,false,(2-2),"Stadio Giorgio Ascarelli, Naples",,,,,,,,,
24,1934,championship,Preliminary round,preliminary_round,true,1934-05-27,Switzerland,Netherlands,,,3,2,A_WIN,,,,,false,(2-1),"Stadio San Siro, Milan",,,,,,,,,
25,1934,championship,Preliminary round,preliminary_round,true,1934-05-27,Italy,United States,,,7,1,A_WIN,,,,,false,(3-0),"Stadio Nazionale PNF, Rome",,,,,,,,,
26,1934,championship,Preliminary round,preliminary_round,true,1934-05-27,Czechoslovakia,Romania,,,2,1,A_WIN,,,,,false,(0-1),"Stadio Littorio, Trieste",,,,,,,,,
27,1934,championship,Quarter-finals,quarter_final,true,1934-05-31,Czechoslovakia,Switzerland,,,3,2,A_WIN,,,,,false,(1-1),"Stadio Benito Mussolini, Turin",,,,,,,,,
28,1934,championship,Quarter-finals,quarter_final,true,1934-05-31,Germany,Sweden,,,2,1,A_WIN,,,,,false,(0-0),"Stadio San Siro, Milan",,,,,,,,,
29,1934,championship,Quarter-finals,quarter_final,true,1934-05-31,Italy,Spain,,,1,1,DRAW,1,1,,,true,"a.e.t. (1-1, 1-1)","Stadio Giovanni Berta, Florence",,,,,,,,,
